"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"1054","1","0","0","0","0","0","0","0","0","1","1","55","36","04","2021","2021036711","6","40.2311","-76.3415","1036","08","0","0","0","0","0","1","0","0","","0","1","0","10","1","0","00","1","40 14:00.257","4","00","76 19:14.013","0","0","0","0","36217","0","0","0","N","0","0","0","2","68T06","0","","1","01","N","N","0","","0","0","0","3","2","N","1035","0","2","0","0","0","0","0","1","0","2","Y","4","2","Y","N","N","N","Y","Y","N","N","1105","03","04","N","N","N"
"1324","1","0","0","0","0","0","0","0","0","4","0","","36","01","2021","2021004905","6","40.1413","-76.5925","1310","08","0","0","0","0","0","0","0","1","","0","0","0","13","1","1","02","1","40 08:28.737","4","00","76 35:32.831","8","0","0","0","36237","0","0","0","N","0","0","0","2","36505","0","","1","01","N","N","0","","0","0","1","3","3","Y","1307","1","2","0","0","0","1","0","1","0","2","N","","","","","","","","","","","1345","03","03","","N",""
"1122","0","0","0","0","0","0","0","0","0","7","0","","36","01","2021","2021001981","7","40.0272","-75.9541","1054","08","0","0","0","0","0","0","0","0","","0","0","0","10","1","1","01","0","40 01:38.006","","00","75 57:14.828","3","0","0","0","36232","0","0","0","N","0","0","0","1","68J01","0","","4","09","N","N","0","","1","0","1","3","3","","1052","1","2","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","03","","","N","N"
"1540","2","0","0","0","0","0","0","0","0","2","0","","36","04","2021","2021034517","6","39.8726","-76.2286","1537","08","0","0","0","0","0","1","0","0","","0","0","0","15","1","2","01","1","39 52:21.285","2","00","76 13:43.327","3","0","0","0","36208","0","0","0","N","0","0","0","4","68J01","0","","1","01","N","N","0","","2","0","0","3","3","N","1535","2","2","0","0","2","0","0","1","0","2","N","","","","","","","","","","","1630","03","","","N","N"
"0604","0","0","0","0","0","0","0","0","0","7","0","","36","01","2021","2021002508","2","40.0537","-76.1311","0556","08","0","0","0","0","0","0","0","0","","0","0","0","05","2","1","00","2","40 03:13.346","6","00","76 07:52.112","4","0","0","0","36221","0","0","0","N","0","0","0","1","68J01","1","","4","02","N","N","0","","0","0","1","0","0","N","0555","1","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","0100","06","","","N","N"
"1454","0","0","0","0","0","0","0","0","0","7","0","","36","04","2021","2021034824","2","40.1591","-76.5508","1451","08","0","0","0","0","0","0","0","0","","0","0","0","14","1","1","00","2","40 09:32.740","5","00","76 33:02.880","3","0","0","0","36225","0","0","0","N","0","0","0","1","36505","0","","5","01","N","N","0","","1","0","1","0","0","Y","1449","1","1","0","0","0","0","0","2","0","1","N","","","","","","","","","","","2100","03","03","","N","N"
"0933","1","0","0","0","0","0","0","0","0","4","0","","36","04","2021","2021032492","3","40.0105","-76.1324","0924","08","0","0","0","0","0","2","0","0","","0","0","0","09","1","1","01","1","40 00:37.874","3","00","76 07:56.531","3","0","0","0","36226","0","0","0","N","0","0","0","3","68J01","0","","1","01","N","N","1","","1","0","0","0","0","N","0921","1","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","1015","03","","","N",""
"1448","0","0","0","0","0","0","0","0","0","4","0","","36","05","2021","2021039942","2","40.0323","-76.3246","1448","08","0","0","0","0","0","0","0","0","","0","0","0","14","1","0","01","0","40 01:56.136","","00","76 19:28.579","0","0","0","0","36220","0","0","0","N","0","0","0","2","36101","0","","1","09","N","N","0","","0","0","2","3","3","","1448","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","07","07","","N",""
"0940","0","0","0","0","0","0","0","0","0","4","0","","36","01","2021","2021011246","2","39.8948","-76.2288","0917","08","0","0","0","0","0","0","1","0","","0","0","0","09","1","1","02","0","39 53:41.103","","00","76 13:43.723","3","0","0","0","36229","0","0","0","N","0","0","0","2","68J01","0","","1","01","N","N","1","","1","0","0","3","3","","0909","1","2","0","0","0","0","0","1","1","2","N","","","","","","","","","","","","03","03","","N","N"
"1832","2","0","0","0","0","0","0","0","0","1","0","","36","04","2021","2021038786","5","40.1237","-76.3761","1824","08","0","0","0","0","0","0","0","0","","0","0","0","18","1","1","00","2","40 07:25.206","5","00","76 22:34.081","4","0","0","0","36214","0","0","0","N","0","0","0","4","36214","1","","1","09","N","N","0","","0","0","1","0","0","Y","1820","1","3","0","0","0","0","0","3","0","3","N","","","","","","","","","","","1930","04","","","N","N"
