"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021093545,"02","0","45 ERICK RD","","LANCASTER","PA","17603","RED ROSE TRANSIT AUTHORITY","7173975613","","","","","","","","","","","","","","1","","13"
2021117612,"02","0","43 INDUSTRIAL ROAD","","EPHRATA","PA","17522","LANDIS LANDSCAPING","7172019915","","","","","","N","","","","","","N","0","2","02298900","00"
2021119973,"03","2","161 OAK BOTTOM ROAD","","QUARRYVILLE","PA","17566","ECOTECH HYDRO EXCAVATION","7174901100","073280","","","","","N","","","","","","N","","1","02826518","04"
2021081491,"03","1","10 ENTERPRISE CT.","","LEBANON","PA","17042","EVERLAST ROOFING INC.","0000000000","052000","","","","","N","","","","","","N","","2","00701453","04"
2021103445,"05","1","4242 S 1ST AVENUE UNIT F7","","LYONS","IL","60534","SPACE 9 CORPORATION","6309746094","045000","","","","","N","","","","","","N","","2","03223108","08"
2021106128,"05","1","705 B NORTH BLOOMINGTON","","LOWELL","AZ","72745","JB HUNT","7172688478","080000","","","","","N","","","","","","N","","1","00080806","09"
2021108652,"99","99","851 HARTMAN STATION RD","","LANCASTER","PA","17601","BEILER","7177405859","001280","","","","","N","","","","","","","","2","00483375","08"
2022004371,"05","1","5532 S NATCHEZ AVE","","CHICAGO","IL","60638","MAVI CARGO CO","7737044011","080000","","","","","N","","","","","","","","2","02956317","08"
2022005381,"02","0","104 WEST HIGH STREET","","TERRELL","TX","75160","GODS WILL TRUCKING / KLB EAST LL","4439093364","016000","","","","","N","","","","","","","","2","03383088","07"
2021018309,"99","9","1195 PENNSY RD","","PEQUEA","PA","17565","MCNEILL TOWING LLC","9999999999","026000","","","","","N","","","","","","U","","1","","99"
2021067986,"05","1","500 OLD DOMINION WAY","","THOMASVILLE","NC","27360","OLD DOMINION FREIGHT LINE INC.","8002355569","080000","","","","","N","","","","","","N","","2","00090849","08"
2021069480,"99","1","1912 REILLY RD","","PHILADELPHIA","PA","19115","AD EXPRESS TRUCKING LLC","2158171251","080000","","","","","N","","","","","","N","","2","03066495","08"
2021075482,"05","4","151 VALPRO DR","","WINCHESTER","VA","22603","VALLEY PROTEINS","5407421851","","","","","","N","","","","","","N","","2","00036807","08"
