"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2018041364","1","0","ME","7","2369187","2022"
"2018050312","1","0","PA","7","PT973A1","2099"
"2018052742","2","0","SC","7","15884PT",""
"2018053102","1","0","PA","3","XKA0847","2019"
"2018057313","1","0","PA","6","XKZ0416","2018"
"2018063059","2","0","ON","7","P4168X","2015"
"2018074320","2","0","ID","7","TG2586","2099"
"2018074689","1","0","PA","7","PT7300Z","2004"
"2018078094","2","0","IL","7","614840ST","2018"
"2018080140","2","0","PA","","",""
"2018080200","1","0","PA","6","PT996A2","2018"
"2018084567","2","0","","6","",""
"2018089909","2","0","PA","7","PT9309Z","2019"
"2018100692","1","0","PA","7","XS79528","2019"
"2018102634","1","0","PA","6","PT2273V","2017"
"2018103042","1","0","PA","7","PT761C1","2019"
"2018104223","2","0","WI","7","702393","2018"
"2018104895","2","0","PA","7","PT6567B","2019"
"2018107751","2","0","ZZ","7","99999","9999"
"2018111722","1","0","MN","7","0952STU",""
"2018126197","1","0","MS","7","089652A","2019"
"2018126652","1","0","OK","7","BB4474","2019"
"2018133664","2","0","PA","3","XCX4012","2018"
"2018134912","2","0","PA","7","PT0268W",""
"2018137291","2","0","IN","7","P450638","2019"
"2018009918","1","0","PA","7","PT9798E","2018"
"2019001289","1","0","TN","7","U590297","2020"
"2019001647","1","0","ME","7","2283514","2018"
"2018020570","2","0","ON","7","8622167","2018"
"2018021157","3","0","NJ","6","TNJ96G","2015"
"2018035416","1","0","","7","",""
"2018035462","1","0","ME","7","219992A","2099"
"2018041387","1","0","PA","3","XLH9224","2018"
"2018041835","2","0","PA","3","PT710D9","2019"
"2018046059","2","0","ME","7","2336582",""
"2018047038","2","0","TN","7","U489707","1994"
"2018047800","1","0","PA","3","XJW4702","2004"
"2018048333","2","0","PA","7","PT0142S","2018"
"2018048338","2","0","MD","7","216176D","2020"
"2018056049","2","0","ME","7","2025332","2018"
"2018056569","2","0","PA","5","XKC9454","2019"
"2018057313","3","0","ME","7","215539B","2018"
"2018061202","2","0","PA","6","XN77005","2019"
"2018061532","2","0","PA","3","XKM4813","2018"
"2018071189","2","0","MI","7","D828436","2019"
"2018075518","2","0","PA","7","PT7748W",""
"2018075553","1","0","LA","5","L571529","2007"
"2018076671","2","0","PA","8","9999","2099"
"2018079703","1","0","NJ","7","TSV60F","2020"
"2018084776","2","0","PA","6","PT6070X","2018"
"2018089247","1","0","PA","3","XGX6946","2018"
"2018089851","2","0","PA","3","PT7524S","2018"
"2018090519","1","0","PA","3","XKP8711","2019"
"2018093756","1","0","ME","6","19TRL2085A","18"
"2018094500","1","0","KY","7","79726T","2019"
"2018115452","2","0","","2","",""
"2018124522","2","0","PA","7","PT015E4","1999"
"2018130238","1","0","ZZ","7","ZZZZZZZ","2019"
