"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","15","N","2019018641","2","1","","1","06","Y","NISS","2014","01","2","","1","00","S","005","0","","2","01","07","01","01","PA","2","06","5N1AR2MM7EC","T4W"
"","15","N","2019020915","3","1","","1","12","Y","CHEV","2008","01","2","","1","00","W","030","0","","1","01","12","02","01","PA","1","01","1GNDT13S082","T4W"
"","15","N","2019020958","3","1","","1","11","Y","MERZ","2012","02","2","","1","00","E","999","","","2","01","07","01","01","PA","2","06","4JGBF7BE7CA","T4W"
"","04","N","2019019095","3","1","","1","12","Y","HOND","2012","02","1","","1","00","S","015","0","","1","01","12","01","03","PA","1","01","1HGCP2F81CA","P4D"
"","04","N","2019020237","3","1","","1","03","Y","FORD","2011","01","1","","1","00","E","999","0","","1","01","03","01","01","PA","1","01","3FADP0L3XBR","P4D"
"","15","N","2019020318","2","1","","1","11","Y","FORD","2012","01","2","","1","00","N","035","0","","2","01","02","01","01","PA","1","06","1FMCU0DG4CK","T4W"
"","51","N","2019021453","3","1","","2","01","Y","CHEV","2001","02","1","","4","00","W","035","0","","1","01","03","16","01","PA","1","05","1GCJC33U61F","TCW"
"","04","N","2019019512","3","1","","3","06","Y","TOYT","2014","01","1","","1","00","N","020","0","","1","01","03","14","13","PA","1","01","4T4BF1FK7ER","P4D"
"","05","N","2019021588","2","1","","1","06","Y","MITS","2015","01","1","","1","00","E","000","0","","2","01","01","03","09","PA","3","01","ML32A3HJ3FH","P4H"
"","75","Y","2019021661","3","1","","1","06","Y","FRHT","1995","02","1","","1","21","N","010","1","","2","01","07","01","01","OH","2","05","1FUPDSEB9SH","TTR"
"","04","N","2019009893","3","1","","1","07","Y","VOLK","2011","01","1","","1","00","W","999","0","","1","01","07","15","01","PA","2","01","3VWDZ7AJ9BM","P4D"
"","04","N","2019010045","3","1","","1","12","Y","TOYT","2003","02","4","","1","00","W","999","0","","2","01","08","01","06","PA","1","01","1NXBR32E13Z","P4D"
"","15","N","2019011087","3","1","","2","12","Y","JEEP","2006","01","2","","3","00","W","020","","","2","01","04","17","01","PA","1","06","1J8HG48K76C","T4W"
"","15","N","2019009134","2","2","","1","12","Y","VOLK","2005","","0","","1","00","N","000","0","","3","02","05","06","01","PA","2","06","WVGZG77L55D","T4W"
"","15","N","2019012286","3","1","","2","01","Y","JEEP","2003","02","1","","1","00","E","025","","","1","01","02","01","09","PA","1","06","1J8GL58K83W","T4W"
"","15","N","2019012361","1","1","","1","05","Y","CHEV","2016","01","1","","1","00","W","015","0","","1","01","07","12","04","PA","2","01","1GNSKHKC4GR","T4W"
"","04","N","2019011480","3","1","","1","11","Y","HOND","2008","01","1","","1","00","E","999","0","","1","01","12","01","01","PA","1","01","1HGCP26428A","P4D"
"","15","N","2019011596","3","1","","1","06","Y","TOYT","2013","02","2","","1","00","S","999","0","","1","01","07","01","01","PA","1","01","JTMRFREV5DD","T4W"
"","06","N","2019009599","3","1","","1","11","Y","VOLK","2015","01","1","","1","00","E","025","0","","2","01","07","01","01","PA","2","01","3VWCA7AU9FM","PSW"
"","15","N","2019011674","1","1","","1","01","Y","SUBA","2014","01","1","","1","00","W","020","0","","2","01","02","01","01","PA","1","06","JF2SJAEC6EH","T4W"
"","04","N","2019012760","3","1","","1","01","Y","TOYT","2012","01","1","","1","00","E","020","","","3","01","03","01","01","PA","1","01","4T1BF1FK0CU","P4D"
"","51","N","2019030643","3","1","","2","01","Y","DODG","2005","01","1","","1","00","S","000","0","","5","01","12","03","03","PA","2","04","1D7HW48N05S","TCW"
"","51","Y","2019026282","3","1","","1","01","Y","WSTR","2005","01","1","","1","00","E","035","0","","2","01","04","08","07","PA","1","05","5KKMAEAV55P","TCC"
"","51","N","2019026360","3","1","","1","01","Y","FORD","2001","01","1","","1","00","W","999","0","","1","01","05","01","01","PA","1","04","1FTRW08L51K","TCW"
