"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2019056711,87,"08","02","","",""," ","0","1","0","1","4","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019086407,24,"08","M","","",""," ","0","1","0","1","0","  "," ",3,"2","03","03","M","N",2,"","","","","PA"
2019029829,58,"09","","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","M","N",2,"","","","","PA"
2019131672,88,"09","00","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019011088,48,"08","M","","",""," ","0","0","0","0","3","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019007667,52,"19","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019064731,56,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019108348,99,"99","00","00","00","00"," ","9","1","0","1","9","  "," ",1,"1","99","01","M","N",1,"","","","","  "
2019043766,27,"00","","","",""," ","0","0","0","0","0","  "," ",3,"2","03","03","M","N",2,"","","","","PA"
2019016227,27,"08","M","","",""," ","0","1","0","1","3","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
2019051894,14,"00","","","",""," ","0","1","0","1","0","  "," ",3,"2","02","08","F","N",2,"","","","","PA"
2019046808,18,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019023991,37,"99","","","",""," ","9","0","0","0","4","  "," ",2,"1","06","01","M","N",2,"","","","","  "
2019095764,60,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019075430,3,"00","","","",""," ","0","1","0","1","0","  "," ",2,"2","22","05","M","N",1,"","","","","PA"
2019046682,79,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2019032755,4,"00","","","",""," ","0","0","0","0","3","  "," ",3,"2","22","04","M","N",2,"","","","","PA"
2019002303,26,"09","","","",""," ","2","1","0","1","3","  "," ",1,"1","03","01","M","Y",1,"603","","","","PA"
2019004960,47,"08","M","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2019037329,48,"99","","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","M","Y",2,"","","","","PA"
2019107123,18,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2019097339,4,"00","","","",""," ","0","0","0","0","0","  "," ",3,"2","23","06","M"," ",1,"","","","","PA"
2019048682,23,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
2019079463,58,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019104110,28,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","R",1,"","","","","PA"
2019080704,58,"00","","","",""," ","0","0","0","0","3","  "," ",2,"2","05","04","F","N",1,"","","","","PA"
2019055008,50,"08","02","","",""," ","0","0","0","0","8","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2019086811,89,"09","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2019047744,52,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2019041768,44,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019087902,51,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019108323,44,"08","M","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","M","N",3,"","","","","PA"
2019075666,7,"00","","","",""," ","0","1","0","1","0","  "," ",7,"2","02","08","M","N",2,"","","","","PA"
2019080257,58,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019034246,29,"00","","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","F"," ",1,"","","","","PA"
2019082662,78,"08","M","","",""," ","0","1","0","1","3","  "," ",3,"2","03","03","M","Y",2,"","","","","PA"
2019085956,1,"00","","","",""," ","0","1","0","1","0","  "," ",3,"2","21","06","M","N",1,"","","","","NJ"
2019132057,29,"09","97","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019087388,17,"19","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M"," ",1,"","","","","PA"
2019053299,18,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019070039,67,"08","M","","",""," ","0","0","0","0","2","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2019026068,75,"00","","","",""," ","0","1","0","1","3","  "," ",2,"2","03","03","F","Y",1,"","","","","PA"
2019024598,37,"00","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","MA"
2019067205,59,"19","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"000","","","","NY"
2019089013,76,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"000","","","","PA"
2019122511,74,"08","M","","",""," ","0","0","0","0","8","  "," ",1,"1","03","01","F","Y",1,"","","","","NY"
2019020014,49,"09","","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2019040409,41,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2019104623,32,"00","","","",""," ","1","1","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019107625,68,"08","M","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2019007877,23,"08","M","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2019098979,52,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","M","N",2,"","","","","PA"
2019100663,43,"08","03","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2019062743,9,"00","","","",""," ","0","1","0","1","0","  "," ",5,"2","03","04","F","N",1,"","","","","PR"
2019046270,59,"00","","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
