"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016104552,"05","9","37137 MN-16","","GRAND MEADOW","MN","55936","VALLEY TRANSPORTATION SERVICES","5077545558","080000","","","","","N","","","","","","U","","1","00456821","08"
2016118140,"05","3","1853 WILLIAM PENN WAY","PO BOX 10008","LANCASTER","PA","17601","HIGH TRANSIT LLC.","7172934444","080000","","","","","N","","","","","","N","A-00123535","2","01664837","08"
2016121108,"05","2","85 SIGMA RD","","PEQUEA","PA","17565","B&D HARKINS TRANSPORTATION INC","7172842844","030000","","","","","N","","","","","","N","","2","01660909","08"
2016127295,"02","8","45 ERICK ROAD","","LANCASTER","PA","17601","RED ROSE TRANSIT BUS SERVICE","7177991196","999999","","","","","N","","","","","","N","","1","","11"
2016129136,"02","2","1070 ROBERT FULTON HWY","","QUARRYVILLE","PA","17584","STONER,INCORPORATED","7177867355","040000","","","","","N","","","","","","N","","2","00011832","08"
2016130310,"03","3","111 80 SPUR","","CUBA","AL","36907","MCELROY LEASING INC","8009927863","015000","","","","","N","","","","","","N","","1","00271424","06"
2016130310,"03","1","2271 LEABROOK RD","","LANCASTER","PA","17601","SLAYMAKER LOGISTICS","7178980369","018672","","","","","N","","","","","","N","","3","01160194","06"
2016005032,"02","8","75 VALLEY ROAD","","LANCASTER","PA","17601","BRIGHTBILL TRANSPORTATION","7172720970","999999","","","","","N","","","","","","N","","1","","11"
2016012490,"06","3","14214 SHERIDAN ROAD","","MONTROSE","MI","48457","J&A TRUCKING","8102471440","","","","","","N","","","","","","N","","2","01877892","08"
2016047939,"99","9","2300 MEADOWVALE BLVD","","MISSISSAUGA","ON","L5N4P9","GE CANADA LEASING SERVICES COMPA","6475750756","080000","","","","","N","","","","","","N","","2","00930025","08"
2016050011,"05","1","1331 BYERLAND CHURCH RD","","WILLOW STREET","PA","17584","DL LANDIS INC","7177868780","080000","","","","","N","","","","","","N","","2","00673857","08"
2016051168,"02","8","102 MARTIC HEIGHTS DRIVE","","HOLTWOOD","PA","17560","DAVID ESCHBACH, JR INC","7172844162","999999","","","","","N","","","","","","N","","2","","11"
2016055997,"02","4","536 E ORANGE ST","","LANCASTER","PA","17602","UNKNOWN","7174195156","","","","","","N","","","","","","N","99","2","00000099","03"
2016056918,"05","3","4910 SIMPSON FERRY RD.","","MECHANICSBURG","PA","17050","PROGRESS LEASING LLC","7179208722","080000","","","","","N","","","","","","N","","3","02178401","08"
2016060620,"02","2","PO BOX 858","","VALLEY FORGE","PA","19482","AMERIGAS","6103371000","033000","2","","","","Y","2","","","","","N","","1","00388004","03"
2016067531,"07","1","7101 W 17TH ST.","","GARY","IN","46406","SCHNEIDER NATIONAL CARRIERS","8004477433","080000","","","","","N","","","","","","N","","1","00264184","08"
